kor,eng
이 빨래는 몇 번 헹궈야 하죠? ,How many times should I rinse this laundry?
더 이상은 안 돼. 최대한 빨리 가고 있다고.,I can't hurry up. I'm going as fast as I can.
사실 빵은 칼로리가 높다.,"Actually, bread has many calories."
무슨 일이야? - 어제 점을 뺐어.,What happened to you? - I had a mole removed from my face yesterday. 
그 음주 운전자는 결국 사고를 냈다.,The drunk driver finally got a car accident.
이 사과는 신선해요. 드셔보세요.,These apples are fresh. Try them.
뭐 샀니?,What did you buy?
그 차는 어둠 속으로 사라졌다.,The car disappeared into the dark.
그 사람 정말 좋은 사람 같아요.,I think he is a really nice person.
너는 날 얼마나 사랑해?,How much do you love me?
"앗, 내 열쇠 사무실에 놓아두고 왔어!","Oops, I left my keys at the office!"
그녀의 말은 사실과 전혀 달라.,Her remarks are completely different from the truth.
여기서 신용카드를 사용할 수 있나요?,Can I use this credit card here?
저는 부모님과 사이가 좋아요.,I have a good relationship with my parents.
내 꿈은 이 회사의 사장이 되는 거예요.,My dream is to be the CEO of this company.
사전은 대출이 안 됩니다.,You can't check out the dictionary.
여기서는 사진을 찍을 수 없습니다.,You are not allowed to take pictures here. 
그 아이는 사탕을 빨고 있었다.,The child was sucking on a candy.
그 다큐멘터리는 사회의 현실을 반영한다.,The documentary reflects the reality of society.
어제 산을 내려오다 발을 삐었어요.,I sprained my ankle coming down the mountain yesterday.
산책하기에 좋다. 밖으로 나가자.,The weather is good for a walk. Let's go out.
몇 살이에요? - 스물세 살이요.,How old are you? -Twenty three years old.
나는 도시에서 혼자 살고 부모님은 시골에 사셔.,I live alone in the city and my parents live in the country.
새 상품을 계획하는 것이 제 일입니다. ,It's my job to plan new products.
새 소리를 듣는 거 좋아해요.,I love to hear birds sing.
내 컴퓨터는 새 거야.,My computer is new.
나 새벽에 일어나야 해.,I have to wake up at dawn.
그 아이는 하늘을 어두운 색으로 칠했다.,The child painted the sky in a dark color.
내가 샌드위치 가져갈게.,I'll bring some sandwiches.
좋은 생각이야.,That's a good idea.
그 사람 어떻게 생겼어요?,What does he look like?
나는 생선과 채소만 먹어요.,I eat only fish and vegetables.
그는 생일 전날 죽었다.,He died the day before his birthday.
긴 방학 후에 학교생활에 적응하기 힘들다.,"After a long vacation, I can't get used to school life."
샤워 했어?,Did you take a shower?
무대 옆에 서 있는 사람이 그 여자야.,That's her standing over there by the stage.
형과 나는 서로를 잘 모른다.,My brother and I don't know each other well.
그 호텔은 최고의 서비스로 알려져 있다.,The hotel is known for the best services.
가장 가까운 서점이 어디인가요?,Can you tell me where the nearest bookstore is?
해는 동쪽에서 떠서 서쪽으로 진다.,The sun rises in the east and sets in the west.
이별 선물이야.,This is a farewell present.
그녀는 선생님이 되기 위해 일을 그만두었다.,She quit the job to become a teacher.
무슨 일이 있었는지 설명해 주시겠어요?,Can you explain what happened?
커피에 설탕 넣니?,Do you take sugar in your coffee?
많은 부부가 성격 차이로 이혼한다.,Many couples get divorced because of their personality differences.
"15세에, 그는 대학에 들어갔다.","At the age of 15, he entered university."
제1차 세계 대전,The First World War
세상 참 좁네요!,What a small world!
너 가서 세수 좀 해야겠다.,You need to go wash your face.
학생들을 한 줄로 세우세요.,Make the students stand in a row.
이 세탁기 고장 났어. 그거 켰어?,This washing machine doesn't work. Did you turn it on?
이 신발은 손님을 5센티미터 커 보이게 만들 겁니다.,"Those shoes make you look 5 centimeters taller, sir."
제 소개를 하겠습니다.,Let me introduce myself.
"너무 싱거우면, 소금을 넣어라.","If it's too bland, add some salt."
"공연이 시작되면, 소리를 내지 말아주세요.","When the concert starts, please don't make any sounds."
나는 쉬는 시간에 주로 소설을 읽는다.,I usually read novels in my free time.
몇 가지 좋은 소식이 있어요. ,I have some good news for you.
"집에 돌아왔을 때, 남편은 소파를 청소하고 있었다.","When I returned home, my husband was cleaning the sofa."
어디로 소풍 가고 싶어?,Where would you like to go for a picnic?
저자는 책 속에 서명을 했다.,The author signed the inside cover of the book.
그 사람들 손을 잡고 걷고 있었어. 사귀는 게 분명해.,They are walking hand in hand. I'm sure they are dating.
엄마는 그 산을 손가락으로 가리켰다.,My mother pointed out the mountain with her finger.
손님은 왕이다.,The customer is always right.
쇠고기와 돼지고기 중에 어느 것이 더 싼가요?,"Which is cheaper, beef or pork?"
여자친구와 쇼핑가는 건 정말 힘들어.,It's hard for me to go shopping with my girlfriend.
지금은 기다리는 수밖에 없어.,There's no other way but to just wait.
머리 말릴 수건 있어?,Do you have a towel to dry your hair with?
"여름에는, 차가운 수박을 먹는 것이 정말 좋다.","In the summer, eating watermelon is very refreshing."
한 시간 후에 수업이 있어요.,I have class in an hour.
다른 곳으로 수영하러 가자.,Let's go swimming somewhere else. 
와! 너희 집에 수영장이 있다며? ,Wow! I heard you have a swimming pool at your house.
숙제 했어?,Did you do your homework?
확실해? 마지막 순간에 마음 바꾸면 안 돼! ,Are you sure? Don't change your mind at the last moment.
"한국 사람은 보통 숟가락으로 밥을 먹고, 젓가락으로 반찬을 먹어요.",Usually Koreans use spoons for rice and chopsticks for side dishes.
너 벌써 술 많이 마신 것 같은데.,I think you have had enough alcohol.
숲에서 길을 잃었어.,I got lost in the forest.
피곤해 보이는데 잠시 쉬지 그래?,You look tired. Why don't you rest for a while?
말은 쉽다. 직접 해 봐.,It's easy for you to say. Do it yourself.
슈퍼마켓 가는 중이야. 뭐 필요한 거 있어? ,I'm going to the supermarket. Do you want anything?
스스로 해결책을 찾아봐라.,Figure out the solution by yourself.
스키 여행은 눈 때문에 취소되었다.,Our ski trip has been canceled because of the snow.
스트레스를 줄이려면 마사지를 받아라.,Get a massage to reduce your stress.
나는 신문에서 스포츠 부분만 읽는다.,I only read the sports section in the newspaper.
슬퍼서 우는 게 아니라 기뻐서 우는 거예요.,"I am crying not because I'm sad, but because I'm happy. "
한강은 서울시를 통과하여 흐른다.,The Han River flows through the city of Seoul.
지금 몇 시야? - 세 시 반.,What time is it now? - Half past three.
하루에 열두 시간 일하고 쉴 시간도 없어요.,I work twelve hours a day and do not have time to rest.
내 시계는 5분 늦다.,My watch is 5 minutes behind.
"에어컨을 켰으니, 시원해질 거야.","With the air conditioner on, it is going to be cool."
수업은 오전 8시에 시작한다.,The class begins at 8 a.m.
콘서트가 시작되고 뮤지션이 연주를 시작했다.,The concert started and the musician began to play.
동대문 시장에 가 보고 싶어요.,I want to go to Dongdaemun Market.
사장님은 휴일에도 일을 시킨다.,The CEO makes me work on holidays.
어제 단어 시험을 봤어. 생각했던 것보다 쉬웠어.,I took a vocabulary test yesterday. It was easier than I thought it would be.
이 식당은 음식을 정말 잘 해.,They serve really nice food in that restaurant.
식사하고 30분 후에 이 약을 드세요.,Take this pill 30 minutes after meals.
식사 후에 식탁을 치워주세요.,"After meals, please clear the dining table."
이 방에 들어올 때는 슬리퍼를 신으세요.,Put on slippers when you come into this room.
어떤 신문 읽어?,Which newspaper do you read?
니 신발 젖었네. 내 신발 신어.,"Your shoes are wet, put on my shoes."
"실례지만,? 몇 시인지 아세요?","Excuse me, but do you have the time?"
아침에 일어나는 게 정말 싫어.,I really hate getting up early in the morning.
너 왜 재즈를 싫어하는 거야?,Why do you hate jazz?
"그 차가 나를 쳤을 때, 나는 심한 충격을 받았다.","When the car hit me, I went into severe shock."
인터넷에서 사는 게 가게에서 사는 것보다 더 싸.,Buying online is cheaper than buying from shops.
뭐 때문에 싸우는 거야?,Why are you quarreling?
그 사람은 쌀과 보리도 구별 못 한다.,He can't tell rice from barley.
"그는 읽고 쓰지 못하지만, 큰 회사의 사장이다.","Although he can't read or write, he is the president of a big company."
개가 모자를 쓰고 있다니 웃기지 않니?,Isn't it funny that the dog is wearing a hat?
어떤 샴푸 쓰세요?,What brand of shampoo do you use?
저 쓰레기 좀 버려줄래?,Could you throw out the garbage?
혜안씨 좀 바꿔주세요.,Can I speak to Ms. Hyean?
나는 집에 오자마자 손을 씻었다.,"As soon as I came home, I washed my hands."
"아, 이런!","Ah, no!"
이번 달에 아기를 낳을 예정이에요.,I'm expecting a baby this month.
내 아내는 내가 꿈꾸던 바로 그 사람이다.,My wife is the one I've dreamed of all my life.
"좀 더 줄까? - 아니, 배불러.","Do you want some more? - No, I'm full."
빌리 진은 내 애인이 아니에요.,Billie Jean is not my lover.
"아니요, 그 애는 내 아들이 아니에요.","No, the kid is not my son."
나 지금 가봐야 해. 내 아들이 집에 혼자 있어.,I have to go now. My son is home alone.
아래에 서명해 주세요.,Please sign your name below.
당신은 정말 아름다워요.,You are so beautiful. 
그 사람 아마 늦을 거야. 새벽 네 시까지 깨어있었거든.,He is probably late. He was up until 4 a.m.
대통령은 그 문제에 대해 아무 말도 하지 않았다.,The president didn’t say anything about the issue.
너는 아무리 먹어도 살이 안 찌는구나.,"No matter how much you eat, you never gain a pound."
아버지는 무슨 일을 하시니?,What does your father do for a living?
"아빠, 저 이 카메라 사 주세요.","Dad, please buy me this camera."
저희는 아이가 하나 있습니다.,We only have one child.
이 바닐라 아이스크림은 내가 가장 좋아하는 맛이다.,Vanilla is my favorite ice cream flavor.
"그는 17살이지만, 아저씨처럼 보인다.","Even though he is seventeen, he looks like a middle-aged man. "
아주 쉬워.,It's very easy.
"아주머니, 여기가 어디예요?","Madam, where am I?"
아직 괜찮은 것 같은데. ,These still seem to be okay.
나는 보통 일요일 아침에는 아침도 안 먹고 늦게까지 잔다.,I usually sleep in without having breakfast on Sunday mornings.
어떤 아파트를 찾고 계세요?,What apartment are you looking for?
무릎이 너무 아파서 걸을 수가 없어.,My knees are so painful that I can't walk.
15분 안에 도착할 거예요.,I will be there within 15 minutes.
넌 왜 안 갔어?,Why didn't you go?
안경 쓰고 있는 저 여자애 말이야?,You mean the girl who wears glasses?
안녕하세요? ,Hello? 
안녕히 가세요.,Take care.
안아 줘.,Give me a big hug.
그것 참 안됐네요.,I'm so sorry for that.
그들은 차에 나란히 앉았다.,They sat side by side in the car.
좋지도 않지만 나쁘지도 않아.,"Not good, but not bad."
내 말 무슨 뜻인지 알겠어?,Do you know what I mean?
그 이야기는 인터넷을 통해 모두에게 알려졌다.,The story became known to everyone through the internet.
그거 끝나면 나한테 알려 줘.,Let me know when you finish it.
"차례가 되면, 앞으로 나오세요.",Please come to the front when it's your turn.
박찬호는 내가 제일 좋아하는 야구 선수야.,Chanho Park is my favorite baseball player.
다쳤어? 이 약 먹어.,Did you get hurt? Take this medicine.
"오늘 약간 춥다, 그지?","It's a little chilly today, isn't it? "
2층에 약국이 있습니다.,There is a pharmacy on the second floor.
"이번에 약속 어기면, 너 다시는 안 볼 거야.","If you break your promise this time, I'll never see you again."
그러니까 자꾸 양말에 구멍이 나지. ,That's why your socks keep getting holes.
이 넥타이는 니 양복이랑 잘 어울릴 거야.,I guess this tie will go with your suit.
걱정하지 마. 그냥 내 어깨에 기대.,Don't worry. Just lean against my shoulder.
어느 부분이 제일 아프세요?,Which part hurts the most?
어디 살아?,Where do you live? 
요즘 몸은 좀 어때?,How do you feel these days?
어떤 사람을 좋아하세요?라고 어떤 사람이 물었다.,What kind of person do you like? asked a certain guy.
이번 수학 시험은 지난번보다 더 어려웠어.,This math test was more difficult than the last one.
도와드릴까요? - 어른 두 명하고 아이 한 명이요.,"May I help you? - Two adults and one child, please."
제가 나이보다 어려보인다는 소리 많이 들어요.,I've heard many times that I look younger than my age.
어린이도 돈을 내야 하나요?,Do children have to pay money?
우리 어머니는 삼 년 동안 아프셨다.,My mother has been sick for three years.
나는 그에게 그 일을 어서 끝내라고 말했다.,I told him to get the work done quickly.
그 옷 너랑 잘 어울리네.,The dress suits you well.
"어제 너한테 열 번도 넘게 전화했는데, 안 받더라.","I called you yesterday more than ten times, but you didn't answer."
언니가 있었으면 좋았을 텐데.,I wish I had an older sister.
언제 시간 되세요?,When are you free?
다른 사람과 같이 산다는 건 언제나 힘든 일이야.,It's always hard to live with someone.
언제나 네가 원하는 것을 얻을 수는 없다.,You can't always get what you want.
왜 얼굴이 갑자기 빨개지니?,Why is your face suddenly turning red?
얼른 대답해요.,Answer me right away.
이거 얼마예요?,How much is this?
한국에 온 지 얼마나 됐어요?,How long have you been in Korea?
시내에서 엄마랑 점심 먹을 거야.,I'm going to meet my mom for lunch downtown.
요즘에는 핸드폰 없는 사람이 없다.,Nowadays there is no one who does not have a cell phone.
가방이 없어졌어!,My bag is gone!
나는 물 없이는 살아도 음악 없이는 못 살아.,"I can live without water, but I can't live without music."
에어컨 좀 켜도 될까요? ,Would you mind if I turned on the air conditioner?
여권 좀 보여주시겠어요?,Can I see your passport?
나 여기 서점에 있어. ,"I'm over here, in the bookstore."
니 여동생은 몇 살이니? ,How old is your younger sister?
여러 나라를 여행하고 싶어. ,I'd like to travel to many countries.
"자, 여러분, 시작해 볼까요.","Ok, everyone, let's get down to business."
나는 여름이 좋아. 여름에는 수영을 할 수 있으니까.,I love summer because I can go swimming.
여보세요? 혜안이 있어요?,Hello? Can I speak to Hyean?
저기 있는 여자 보여?,Can you see a woman over there?
우리 반은 남학생보다 여학생이 많아. ,My class has more female students than male students.
올 여름에는 부산을 여행하기로 했다.,I decided to travel to Busan this summer.
이번 역은 종각역입니다. 내리실 문은 왼쪽입니다 ,This stop is Jonggak. The exit doors are on your left.
하루 종일 역사 시험 공부를 했어. ,I studied all day long for the history test .
이번 주 농구 연습에 안 가서 팀에서 쫓겨났어.,I got kicked off the basketball team because I didn't go to the practice this week.
잠시만. 종이하고 연필 가져올게.,Hold on. I'll get some paper and a pencil.
열어 봐. 깜짝 선물이야. ,Open it up. It's a surprise gift.
문이 저절로 열렸어.,The door opened by itself.
내 자동차 열쇠를 잃어버렸어. ,I've lost my car keys.
그 시험을 위해 정말 열심히 공부했어요. ,I studied very hard for the test.
일 년 동안 영국에서 살 거예요.,I'll be living in England for a year.
영어 공부 어떻게 하셨어요? ,How did you study English?
영화는 형편없었지만 경치는 멋있었어!,"The movie was stupid, but the scenery was nice!"
그 은행은 저 건물 옆에 있어요.,The bank is next to the building.
예를 들어봐.,Give me an example.
오늘 아주 예쁜 여자를 봤어.,Today I saw a really pretty girl.
예정대로 도착해?,Are you going to arrive on schedule?
저 노래를 들으니 옛날 생각이 나.,That song reminds me of the old days.
오늘은 쉬는 날이야.,Today is my day off.
언제 오세요?,When are you coming?
오래 기다리시게 해서 죄송합니다.,I'm sorry to have kept you waiting for so long.
고향에 오래간만에 오신 건가요? ,Has it been a while since you've been back to your hometown?
이 오렌지 신선한 건가요? ,Are these oranges fresh?
기름 가격이 또 올랐네.,The price of gasoline has gone up again.
공원에서 오른쪽으로 도세요.,Turn right at the park.
너희 오빠는 안경을 쓰니? ,Does your brother wear glasses?
저는 오전 9시부터 오후 6시까지 일해요.,I work from 9 a.m. to 6 p.m.
이따 오후에 오세요.,Come by this afternoon.
몇 층이나 올라가야 해요?,How many flights of stairs should I go up?
올해는 담배를 끊기로 결심했어요.,I've decided to quit smoking this year.
오늘 '누가 내 치즈를 옮겼을까?'라는 책을 읽었다.,"I read the book, Who moved my cheese?"" today."""" read the book"
이 옷 나한테 맞을까? ,Do you think these clothes will fit me?
어젯밤에 너 완전히 취했었어. ,You were completely drunk last night.
왜 그랬니?,Why did you do that?
나는 아침에 늦게 일어난다. 왜냐하면 할 일이 없기 때문이다.,I wake up late in the morning because I have nothing to do.
외국에서 태어났으면 좋았을 텐데.,I wish I had been born in a foreign country.
할 줄 아는 외국어가 있으세요?,Can you speak any foreign languages?
이태원에는 외국인이 많아요.,There are many foreigners in Itaewon.
왼쪽에 있는 빨간 버튼을 누르세요.,Press the red button on your left.
이것들 전부 니가 요리한 거야?,Did you cook all these?
요즈음 살이 쪄.,I'm gaining weight these days.
욕심엔 끝이 없다.,Greed has no limits.
우리 전에 만난 적 있나요?,Have we met before?
우리나라에서는 태어나면 바로 한 살이에요. ,"In my country, we are regarded as being one year old as soon as we're born."
우산 안 가져왔어? ,Didn't you bring your umbrella?
우선 동생한데 물어봐야 해요.,I have to ask my brother(sister) first.
이 우유 상한 거 같아요.,This milk seems to have gone bad.
나 지금 우체국 가는 길이야. ,I'm on the way to the post office.
운동을 위해 나는 매일 1킬로를 뛴다.,"For exercise, I jog a kilometer everyday."
아이들은 운동장에서 놀고 있을 거야.,Kids probably play at the playground.
청바지와 운동화는 안 됩니다.,Jeans and sneakers are not allowed.
조심해서 운전해라.,Drive carefully.
아기가 자꾸 울어서 데리고 나왔어요. ,"My baby kept crying, so I took her out."
팔을 움직이려 했지만 이상하게도 움직이지 않았다.,"I tried to move my arms, but strangely they didn’t move."
니 웃는 모습이 좋아.,I like the way you smile.
"나를 보자마자, 그는 웃음을 터뜨렸다.","As soon as he saw me, he burst out in laughter."
나는 이 신발을 3만 원에 샀다.,I bought this pair of shoes for thiry thousand won.
그 사람 원래 성격이 밝아요. ,He originally had such a pleasant personality.
니가 원한다면 그거 할게.,I'll do it if you want.
서랍 안이 아니라 책상 위에 있었어요.,"They were on top of the table, not in the drawer."
그 가게는 위치가 나쁜 것 같아.,I think that store has a bad location.
이건 널 위한 작은 선물이야.,Here's a little present for you.
어렵고 위험할 것 같은데.,That sounds difficult and dangerous.
부산은 해산물로 유명하다. ,Busan is famous for its seafood.
저희 은행에 계좌를 갖고 계신가요? ,Do you have an account with our bank?
매운 음식도 괜찮아?,You don't mind spicy food?
집에서 음악 많이 들으세요? ,Do you listen to much music at home?
그 사람한테 니 의견을 말하지 그래?,Why don't you tell him your opinion?
사랑이 없는 결혼은 아무런 의미가 없어. ,Marriage without love doesn't mean anything.
의사에게 진찰받아 봤니?,Have you been to the doctor?
의자가 열 개밖에 없어요.,There are only ten chairs.
아마 이를 빼야 할 거야.,Maybe you have to have a tooth pulled out.
이 책 니 거야?,Is this book yours?
이것 좀 혜안한테 줄래?,Could you give this to Hyean?
이곳 음식은 너무 비싸네요.,The dishes here are pretty expensive.
어제 저녁 야구 경기에서 누가 이겼지? ,Who won the baseball game last night?
이때까지 나는 여자 친구를 한 번도 사귀어 본 적이 없다.,"To this day, I have never had a girlfriend."
이런 일 해보셨어요? ,Have you ever done this kind of work?
제 생각은 이렇습니다.,My opinion is this.
"한국인들은 성을 앞에, 이름을 그 다음에 쓴다.",Koreans write their surname first and then their given name.
지난 주말에 이미 거기 가 봤어. ,I already went there last weekend.
난 순수한 이미지의 여자가 좋아.,I like girls who look pure.
이번에는 안 돼!,Not this time!
이분이 우리 영어 선생님이세요.,This is my English teacher.
토익 시험에서 900점 이상을 받아야 한다.,I have to score over 900 on the TOEIC exam.
어젯밤에 이상한 꿈을 꿨어.,I had a strange dream last night.
그 이야기는 더 이상 하고 싶지 않아요. ,I don't want to talk about that anymore.
인터넷에서 영화를 볼 때 어떤 사이트를 이용하세요?,What sites are you using to watch movies on the internet?
남편은 점심을 먹고 이웃에 놀러갔어요.,My husband went over to our neighbor's house after lunch.
니가 화낼 이유가 없는 것 같은데.,I don't think you have a reason to get angry.
이제 그만 가볼게요.,I have to leave now.
이쪽으로 오세요.,Come this way.
"나는 이 메모를 이해할 수가 없는데, 넌 어때?","I can't understand this memo, can you?"
체스에서 컴퓨터가 인간을 이겼어요. ,The computer defeated the human in the chess.
"그 사건 이후, 그 배우는 인기가 떨어졌다.","After the scandal, the actor lost his popularity."
작별 인사를 해야 할 시간이야.,It's time for us to say goodbye.
내 인생 최고의 날이었어.,It was the best day of my life.
인터넷에 어떻게 접속하지?,How can I access the internet?
일만 하지 말고 좀 놀아라.,Stop working sometimes and have fun.
일본에 가려면 관광 비자가 필요해요.,You need a tourist visa to go to Japan.
일본어 공부는 잘 되고 있어요? ,How are you doing with learning Japanese?
오늘 늦게 일어났어요?,Did you get up late today?
문제를 일으킬 생각은 없었다.,I didn't mean to cause any trouble.
저는 늦게 자고 일찍 일어납니다.,I go to bed late at night and wake up early in the morning.
가장 최근에 읽은 책이 뭐예요?,What was the last book you've read?
길을 잃으신 것 같군요.,You seem to be lost.
가게에서 지갑을 잃어버렸어. ,I lost my wallet in the store.
입에 음식을 넣고 말하지 마라.,Don't talk with your mouth full.
한복은 보통 언제 입어요?,When do you usually wear a hanbok?
침대 옆 탁자 위에 있어요.,It is on the table next to the bed.
나를 잊지 않겠다고 약속해.,Promise you won't forget me.
"아차, 깜박 잊어버렸어. ","Oh, I completely forgot."
그 사람은 항상 자기 얘기만 한다.,She always talks only about herself.
자꾸 물어보지 마.,Don't ask me over and over again.
나는 늘 옆으로 잔다.,I always sleep on my side.
자동차에 또 문제가 있어요?,Do you have problems with your car again?
저는 시골에서 자랐어요.,I grew up in the countryside.
여기 자리 있나요?,Is this seat taken?
"소크라테스가 너 자신을 알라""고 말했지.""""크라테스가 ""너 자신을 알라""""라테스가 ""너 """"테스""","Socrates said, Know yourself.""""""ocrates said"
부끄러워하지 마. 그냥 자연스럽게 행동해.,Don't be shy. Just act natural.
결혼하고 나서 자유를 잃었다고 생각하세요?,Do you feel you lost your freedom after getting married?
자장면은 정말 인기 있는 중국 음식이야. ,Jajangmyeon is a very popular Chinese dish.
밖에서 자전거 타도 돼요? ,Can I ride my bicycle outside?
영화 보러 자주 가세요? ,Do you often go to the movies?
너 작년에 졸업했지?,"You graduated last year, didn't you?"
큰 가방 두 개하고 작은 것 한 개요.,Two big suitcases and a small one.
커피 한 잔 하시겠어요?,Would you like a cup of coffee?
내 목소리 잘 들려요?,Can you hear me well?
그 사람은 영어를 아주 잘해.,He speaks English very well.
몹시 잠이 와.,I feel so sleepy.
여기 잠깐 계세요.,Stay here for a moment.
잠시 생각 좀 할게요.,Let me think for a while.
잠자기 전에 이를 닦아라.,Brush your teeth before sleeping.
내 손을 잡아요.,Hold my hand.
잡지에서 우연히 본 거야.,I came across it in a magazine.
달력을 한 장 넘겼다.,I turned the page of the calendar.
"화내지 마세요, 그냥 장난이었어요.",Don't be angry. It was just for fun.
노란 장미보다 붉은 장미가 마음에 들어요. ,I prefer red roses to yellow ones.
시간이랑 장소는 정했어?,Have you decided on the time and the place?
저희 식당은 신선한 재료만을 사용합니다.,My restaurant uses only fresh ingredients.
이 영화 진짜 재미없다.,I'm finding this movie extremely boring.
이거 정말 재미있네!,This is so fun!
나는 부모님으로부터 많은 재산을 물려받았다.,I inherited a huge property from my parents.
저를 아세요?,Do I know you?
저 사람 좀 보세요.,Look at that man over there.
저것 좀 봐. 강아지가 다리를 다쳤어! ,Look at that. A puppy with an injured leg!
저곳은 항상 사람들이 많아.,That place is always crowded with people.
저기에 주유소가 있어요.,There's a gas station over there.
내일 저녁에 뭐 하세요?,What are you going to do tomorrow evening?
저쪽 구석에 놓으세요. ,Put it down in that corner over there.
여기에 이름을 적어주세요.,"Write down your name here, please."
우리 회사에는 일하는 사람이 적다.,There are few men working at my company.
전에 여기 있던 가게가 없어졌어.,The store that was here before is now gone.
우리 대학은 백 년의 전통을 자랑한다.,Our university boasts a tradition that goes back 100 years.
혜안이 전화했었다고 전해 주세요.,Please tell him Hyean called.
그 사람 전혀 다른 사람 같더라고.,He seemed to be a completely different person.
119에 전화해!,Call 911!
전화번호 좀 알려줄래?,Can I have your phone number?
그녀는 젊었을 때 정말로 예뻤다.,"When she was young, she was really beautiful."
늦어서 5점이 깎였다.,I got five points taken off for being late.
점심은 제가 살게요.,Lunch is on me.
점심시간은 한 시간이다.,We have an hour-long lunch break.
"점점 더, 젊은 사람들이 공부하려고 해외에 간다.","More and more, young people nowadays go abroad to study."
젓가락으로 국수를 집을 수 있어요?,Can you pick up the noodles using your chopsticks?
2분 정도 걸릴 겁니다. ,It'll take about two minutes.
이 근처에 버스 정류장이 있습니까? ,Is there a bus stop near here?
나 지금 정말 피곤해.,I'm really tired now.
건강한 신체에 건전한 정신,A sound mind in a sound body
시간은 당신이 정해요.,You set the time for us.
정확한 출발 시각은 몇 시인가요?,What time is the exact departure time?
이번엔 제대로 좀 해 보자. ,Let's get it right this time.
나는 베토벤을 제일 좋아해. ,I like Beethoven the best.
조금만 더 주세요. ,"Just a little more, please."
경찰이 그 사건을 조사하고 있어요.,The police are investigating the incident.
감기 조심하세요.,Be careful not to catch a cold.
바다가 보이는 조용한 방이에요.,"Yes, it's a quiet room with a fine view of the ocean."
대학 졸업하고 뭐 할 거야?,What do you plan to do after you graduate from university?
와인 좀 가져오세요. ,"Bring some wine, please."
우리는 종교의 자유가 있다.,We have freedom of religion.
음식 종류가 너무 많아서 무엇을 먼저 먹어야할지 정할 수가 없다.,There are so many kinds of food that I can't decide what to eat first.
종이를 반으로 접어라.,Fold the paper in half.
내일도 날씨가 좋았으면 좋겠는데.,"I hope the weather is nice tomorrow, too. "
너 만화책 좋아하니? ,Do you like comic books?
늦어서 죄송합니다.,Sorry I'm late.
나는 혜안에게 생일 선물로 시계를 주었다.,I gave her a watch for her birthday.
판다가 주로 뭘 먹는지 알아?,Do you know what pandas mostly eat?
이번 주말에 시간 있어?,Are you free this weekend?
제 이메일 주소를 알려 드릴게요. ,I'll give you my e-mail address.
죄송한데 오늘 오렌지 주스가 없어요.,"Sorry, we have no orange juice today."
수영장 주위를 그렇게 뛰어다니면 안 된다.,You shouldn't run around the pool like that.
이 차 주인이세요?,Are you the owner of this car?
다음 주제로 넘어가는 건 어때요?,How about going on to the next topic?
담배를 계속 피우면 젊은 나이에 죽을지도 몰라.,Keep smoking and you'll probably die young.
한국에서는 빨간색이 죽음을 의미해.,"In Korea, red means death."
내가 특별히 준비할 거 있어?,Is there anything special that I should prepare?
"무엇보다도, 스트레스를 줄이는 것이 중요합니다.","First of all, it is important to reduce your stress."
수업 중에 떠들지 마라.,Don't chat during class.
중국에서는 물건 값이 굉장히 싸요. ,Things in China are so cheap.
요즘 한국에는 중국어를 공부하는 사람들이 많다.,A lot of people are studying Chinese in Korea these days.
우리 집은 서울 중심에 있다.,My house is located in the center of Seoul.
독도가 중요한 섬인가요?,Is Dokdo an important island?
우리 엄마는 중학교 미술 선생님이야.,My mom teaches art at a junior high school.
많은 중학생들이 담배를 피우나요?,Do many junior high school students smoke?
어린이날은 아이들에게 일 년 중 가장 즐거운 시기이다.,Children's day is one of the happiest times in a year for children.
어떤 음식을 즐겨 먹어요? ,What kind of food do you enjoy?
돈을 지갑에 넣어 다니세요?,Do you carry your money in a wallet?
지금 어디 계세요?,Where are you now?
이 버스가 플라자 호텔 지나가나요?,Does this bus pass by the Plaza Hotel?
시간이 지나면 다 잊힐 거야.,All will be forgotten as time goes by.
장난이 지나치시네요.,Your pranks have gone too far.
이 노래 지난달에 나왔어.,This song was released last month.
우리 지난주에 얘기하지 않았나요?,Didn't we talk just last week?
회사가 지난해 망했어. ,The company went bankrupt last year.
휴가 어떻게 지냈어? ,How did you spend your vacation?
지도를 보면서 알려드릴게요.,I'll show you on the map.
책상 위에서 연필과 지우개 외에는 모두 치우세요.,Clear everything off your desk except for your pencils and erasers.
화장은 하는 것보다 지우는 것이 더 중요하다.,Removing makeup is more important than putting it on.
"너 약속 지키는 거, 난 한 번도 못 봤어. ",I've never seen you keep any promises.
가게들은 지하에 있습니다.,Shops are in the basement.
지하철에서 지갑을 잃어버렸어.,I lost my wallet on the subway.
직접 얘기해 보시지 그래요? ,Why don't you talk to him directly?
나 그런 질문 싫어하는 거 알잖아. ,You know I hate that question.
집까지 태워다 줄게. ,I'll drive you home.
이 생선 엄청 짜네.,This fish tastes pretty salty.
걔는 짧은 머리에 안경을 썼어.,She has short hair and wears glasses.
어느 쪽이 남쪽이야?,Which way is south?
찌개는 식으면 맛이 없어.,Stew doesn't taste good when it is cold.
여기에 도장을 찍으세요.,Stamp your seal here.
커피? 아니면 차?,Coffee? Or tea?
당장 차 세워!,Pull the car over right now!
"차례를 지키면, 곧 니 차례가 올 거야.","If you keep in order, it will soon be your turn."
거 참 이상하네.,That's really strange.
나 너무 불안해서 참을 수가 없어. ,I am so nervous I barely stand it.
